Date,Open,High,Low,Close,Adj Close,Volume
2021-02-09,6232.102051,6286.291016,6157.134766,6181.671875,6181.671875,175273400
2021-02-10,6198.032227,6216.938965,6168.013184,6201.828125,6201.828125,122608700
2021-02-11,6221.633789,6232.850098,6194.009766,6222.520996,6222.520996,104014000
2021-02-15,6244.384766,6283.415039,6244.384766,6270.324219,6270.324219,123956100
2021-02-16,6291.007813,6308.811035,6274.353027,6292.395996,6292.395996,144173700
2021-02-17,6292.970215,6314.555176,6209.314941,6227.728027,6227.728027,169907100
2021-02-18,6230.356934,6281.357910,6200.308105,6200.308105,6200.308105,167455200
2021-02-19,6196.898926,6231.932129,6173.594238,6231.932129,6231.932129,133625600
2021-02-22,6267.024902,6312.873047,6255.312012,6255.312012,6255.312012,145005700
2021-02-23,6267.454102,6279.143066,6241.951172,6272.807129,6272.807129,126272800
2021-02-24,6283.794922,6294.140137,6223.648926,6251.054199,6251.054199,152221800
2021-02-25,6280.727051,6309.757813,6274.497070,6289.645996,6289.645996,237490100
2021-02-26,6246.316895,6302.394043,6184.517090,6241.795898,6241.795898,219493200
2021-03-01,6281.856934,6339.008789,6261.559082,6338.513184,6338.513184,173079500
2021-03-02,6367.438965,6388.121094,6329.498047,6359.205078,6359.205078,180676700
2021-03-03,6378.797852,6394.452148,6334.244141,6376.756836,6376.756836,242358700
2021-03-04,6355.375977,6369.411133,6270.107910,6290.798828,6290.798828,238207200
2021-03-05,6263.043945,6307.683105,6245.308105,6258.749023,6258.749023,153557700
2021-03-08,6304.000000,6325.515137,6239.049805,6248.464844,6248.464844,155718400
2021-03-09,6258.669922,6267.423828,6167.717773,6199.646973,6199.646973,188106700
2021-03-10,6233.616211,6276.158203,6225.455078,6264.679199,6264.679199,121957600
2021-03-12,6316.880859,6364.356934,6298.522949,6358.208984,6358.208984,186241800
2021-03-15,6374.762207,6387.735840,6324.258789,6324.258789,6324.258789,137895500
2021-03-16,6347.188965,6355.411133,6296.896973,6309.699219,6309.699219,155061500
2021-03-17,6318.068848,6321.336914,6268.838867,6277.228027,6277.228027,138044900
2021-03-18,6309.575195,6358.425781,6307.000000,6347.829102,6347.829102,149718200
2021-03-19,6346.008789,6356.160156,6307.101074,6356.160156,6356.160156,162089200
2021-03-22,6346.794922,6354.938965,6290.021973,6301.130859,6301.130859,128638500
2021-03-23,6331.698242,6342.129883,6245.991211,6252.711914,6252.711914,173805000
2021-03-24,6231.712891,6239.546875,6143.380859,6156.140137,6156.140137,138290000
2021-03-25,6159.619141,6176.426758,6058.842773,6122.875977,6122.875977,147353000
2021-03-26,6141.605957,6195.562012,6106.078125,6195.562012,6195.562012,124284100
2021-03-29,6205.568848,6230.990234,6165.553223,6166.817871,6166.817871,114609800
2021-03-30,6163.721191,6170.668945,6046.467773,6071.441895,6071.441895,118686600
2021-03-31,6062.950195,6066.836914,5892.645020,5985.521973,5985.521973,123071400
2021-04-01,5988.022949,6020.164063,5960.816895,6011.456055,6011.456055,106367400
2021-04-05,6040.055176,6051.621094,5964.483887,5970.286133,5970.286133,122053600
2021-04-06,5973.986816,6008.504883,5944.420898,6002.770020,6002.770020,126386100
2021-04-07,6011.958008,6040.456055,5982.066895,6036.616211,6036.616211,141523800
2021-04-08,6035.037109,6073.914063,6030.286133,6071.724121,6071.724121,169546400
2021-04-09,6101.723145,6113.155762,6070.208984,6070.208984,6070.208984,161275600
2021-04-12,6080.791992,6088.828125,5942.713867,5948.568848,5948.568848,130244200
2021-04-13,5944.525879,5957.611816,5883.523926,5927.435059,5927.435059,107375400
2021-04-14,5964.029785,6050.275879,5962.316895,6050.275879,6050.275879,141883200
2021-04-15,6057.610840,6079.500977,6029.153809,6079.500977,6079.500977,132167700
2021-04-16,6102.377930,6115.620117,6062.921875,6086.257813,6086.257813,158024500
2021-04-19,6084.785156,6096.995117,6031.832031,6052.540039,6052.540039,159845500
2021-04-20,6029.992188,6045.693848,5997.948242,6038.321777,6038.321777,106712400
2021-04-21,6010.268066,6025.500000,5989.983887,5993.242188,5993.242188,117327800
2021-04-22,6004.793945,6024.937988,5980.455078,5994.184082,5994.184082,139778300
2021-04-23,6000.912109,6027.059082,5973.247070,6016.863770,6016.863770,151530300
2021-04-26,6018.339844,6027.752930,5955.618164,5964.820801,5964.820801,122797700
2021-04-27,5986.996094,6003.917969,5950.868164,5959.621094,5959.621094,122928600
2021-04-28,5959.951172,5981.895996,5953.942871,5974.479004,5974.479004,127681000
2021-04-29,6005.798828,6019.024902,5987.743164,6012.960938,6012.960938,130962400
2021-04-30,6026.527832,6033.899902,5985.021973,5995.616211,5995.616211,136841700
2021-05-03,5999.661133,6004.007813,5938.875977,5952.597168,5952.597168,152015700
2021-05-04,5955.395020,5974.682129,5932.317871,5963.819824,5963.819824,141538100
2021-05-05,5974.560059,5992.932129,5971.309082,5975.911133,5975.911133,131241100
2021-05-06,5987.065918,6005.087891,5950.899902,5970.240234,5970.240234,120448300
2021-05-07,5987.330078,5994.330078,5922.493164,5928.309082,5928.309082,121835200
2021-05-10,5942.105957,5985.372070,5941.926758,5975.787109,5975.787109,120144700
2021-05-11,5965.852051,5966.664063,5911.375977,5938.351074,5938.351074,120811100
2021-05-17,5950.137207,5958.792969,5817.707031,5833.859863,5833.859863,150604900
2021-05-18,5836.083984,5855.666992,5782.776855,5834.394043,5834.394043,160329900
2021-05-19,5817.136230,5828.210938,5752.256836,5760.583984,5760.583984,138298600
2021-05-20,5759.629883,5814.779785,5751.340820,5797.597168,5797.597168,114025600
2021-05-21,5824.109863,5838.229004,5742.038086,5773.120117,5773.120117,133703000
2021-05-24,5793.066895,5805.152832,5759.339844,5763.631836,5763.631836,141371900
2021-05-25,5772.937012,5848.554199,5769.287109,5815.839844,5815.839844,144613700
2021-05-27,5850.501953,5904.837891,5841.828125,5841.828125,5841.828125,211859200
2021-05-28,5875.270996,5891.472168,5833.342773,5848.616211,5848.616211,181542500
2021-05-31,5869.217773,5947.462891,5860.536133,5947.462891,5947.462891,169049900
2021-06-02,6002.480957,6031.578125,5991.506836,6031.578125,6031.578125,178537100
2021-06-03,6038.856934,6091.513184,6005.636230,6091.513184,6091.513184,181262300
2021-06-04,6091.129883,6103.858887,6043.856934,6065.166016,6065.166016,158659400
2021-06-07,6075.506836,6088.000000,6050.800781,6069.935059,6069.935059,200000700
2021-06-08,6071.250000,6075.886230,5992.118164,5999.369141,5999.369141,265159600
2021-06-09,5973.036133,6047.475098,5972.449219,6047.475098,6047.475098,239289300
2021-06-10,6065.925781,6111.445801,6064.933105,6107.538086,6107.538086,215823100
2021-06-11,6118.379883,6134.881836,6084.238770,6095.497070,6095.497070,196526600
2021-06-14,6110.796875,6124.872070,6071.725098,6080.383789,6080.383789,196186700
2021-06-15,6085.360840,6091.367188,6051.245117,6089.038086,6089.038086,163564500
2021-06-16,6071.438965,6114.096191,6049.575195,6078.567871,6078.567871,152950200
2021-06-17,6063.537109,6082.291992,6034.827148,6068.446777,6068.446777,205095900
2021-06-18,6065.519043,6070.416016,5944.053223,6007.120117,6007.120117,238006900
2021-06-21,5959.964844,6021.494141,5884.917969,5996.252930,5996.252930,159997500
2021-06-22,6006.665039,6118.861816,6006.665039,6087.841797,6087.841797,151167900
2021-06-23,6095.895020,6130.096191,6034.542969,6034.542969,6034.542969,199578400
2021-06-24,6052.080078,6060.488770,6003.196777,6012.056152,6012.056152,168548200
2021-06-25,6027.220215,6067.791016,6019.404785,6022.398926,6022.398926,172441600
2021-06-28,6015.278809,6030.890137,5939.471191,5939.471191,5939.471191,145849200
2021-06-29,5944.242188,5992.863770,5913.590820,5949.049805,5949.049805,188801800
2021-06-30,5950.433105,6011.256836,5950.423828,5985.488770,5985.488770,203167100
2021-07-01,6001.121094,6039.034180,5969.099121,6005.958008,6005.958008,140966500
2021-07-02,6020.074219,6043.432129,6014.871094,6023.007813,6023.007813,146766100
2021-07-05,6024.165039,6036.979004,5985.354004,6005.608887,6005.608887,131732000
2021-07-06,6015.581055,6054.607910,6013.062012,6047.110840,6047.110840,161021000
2021-07-07,6062.769043,6066.994141,6022.305176,6044.037109,6044.037109,165513600
2021-07-08,6052.804199,6080.222168,6028.607910,6039.895996,6039.895996,159513500
2021-07-09,6037.003906,6060.541016,6026.547852,6039.844238,6039.844238,136425200
2021-07-12,6060.054199,6097.120117,6055.985840,6078.567871,6078.567871,135385400
2021-07-13,6097.229004,6114.286133,6004.821777,6012.032227,6012.032227,172635900
2021-07-14,6008.241211,6013.041992,5947.618164,5979.214844,5979.214844,138499900
2021-07-15,5986.649902,6046.753906,5982.804199,6046.753906,6046.753906,141035200
2021-07-16,6063.421875,6079.139160,6051.757813,6072.509766,6072.509766,129367700
2021-07-19,6062.965820,6063.646973,6015.148926,6017.394043,6017.394043,123010800
2021-07-21,6034.571777,6053.192871,6020.863770,6029.976074,6029.976074,153050600
2021-07-22,6057.541016,6137.546875,6057.541016,6137.546875,6137.546875,178417800
2021-07-23,6145.761230,6166.305176,6090.603027,6101.689941,6101.689941,143269200
2021-07-26,6109.030762,6137.045898,6091.015137,6106.394043,6106.394043,156210200
2021-07-27,6120.929199,6144.584961,6068.512207,6097.048828,6097.048828,179173700
2021-07-28,6094.541016,6116.504883,6074.867188,6088.522949,6088.522949,161217600
2021-07-29,6106.611816,6135.349121,6096.502930,6120.727051,6120.727051,178890400
2021-07-30,6136.368164,6160.462891,6069.839844,6070.039063,6070.039063,193641700
2021-08-02,6098.007813,6112.829102,6048.101074,6096.542969,6096.542969,216299000
2021-08-03,6107.996094,6142.515137,6105.109863,6130.570801,6130.570801,226801300
2021-08-04,6142.475098,6163.814941,6112.720215,6159.035156,6159.035156,271201100
2021-08-05,6174.607910,6218.645996,6173.574219,6205.416992,6205.416992,268332500
2021-08-06,6223.833984,6263.539063,6190.856934,6203.431152,6203.431152,245459900
2021-08-09,6203.747070,6239.015137,6110.546875,6127.456055,6127.456055,293622300
2021-08-10,6139.339844,6147.765137,6042.475098,6088.408203,6088.408203,205029900
2021-08-12,6092.245117,6139.808105,6051.852051,6139.651855,6139.651855,206955800
2021-08-13,6154.051758,6179.895996,6113.263184,6139.492188,6139.492188,163739300
2021-08-16,6144.942871,6147.304199,6056.736816,6087.913086,6087.913086,171745600
2021-08-18,6109.561035,6136.282227,6040.603027,6118.149902,6118.149902,208983000
2021-08-19,6110.549805,6111.012207,5958.043945,5992.321777,5992.321777,214361500
2021-08-20,5988.757813,6030.771973,5938.407227,6030.771973,6030.771973,200995800
2021-08-23,6037.700195,6109.828125,6037.700195,6109.828125,6109.828125,193786700
2021-08-24,6114.666992,6138.497070,6053.573242,6089.497070,6089.497070,238973300
2021-08-25,6094.145020,6131.910156,6093.095215,6113.240234,6113.240234,214295900
2021-08-26,6107.040039,6119.657227,6034.049805,6058.080078,6058.080078,172987800
2021-08-27,6052.827148,6066.491211,6021.954102,6041.366211,6041.366211,156989800
2021-08-30,6062.112793,6144.901855,6062.112793,6144.901855,6144.901855,159300800
2021-08-31,6148.768066,6158.069824,6117.502930,6150.298828,6150.298828,189133300
2021-09-01,6157.820801,6169.056152,6089.232910,6090.933105,6090.933105,194563800
2021-09-02,6092.650879,6110.049805,6054.280762,6078.229004,6078.229004,179403300
2021-09-03,6085.627930,6126.920898,6056.186035,6126.920898,6126.920898,171489500
2021-09-06,6137.125977,6150.357910,6100.931152,6126.937988,6126.937988,173887900
2021-09-07,6135.870117,6145.488770,6100.943848,6112.399902,6112.399902,180693200
2021-09-08,6114.477051,6123.755859,6001.579102,6026.020020,6026.020020,196394300
2021-09-09,6024.316895,6072.643066,5982.766113,6068.219238,6068.219238,214651900
2021-09-10,6059.154785,6102.831055,6047.608887,6094.873047,6094.873047,192886100
2021-09-13,6080.062012,6094.987793,6052.970215,6088.157227,6088.157227,158870000
2021-09-14,6100.628906,6130.862793,6099.158203,6129.095215,6129.095215,201683300
2021-09-15,6123.910156,6125.333984,6100.003906,6110.229004,6110.229004,188698800
2021-09-16,6126.555176,6137.668945,6098.876953,6109.941895,6109.941895,218872800
2021-09-17,6098.877930,6133.246094,6086.083984,6133.246094,6133.246094,224719500
2021-09-20,6132.034180,6133.170898,6053.932129,6076.314941,6076.314941,176619400
2021-09-21,6049.792969,6068.792969,5996.407227,6060.756836,6060.756836,179600700
2021-09-22,6060.305176,6123.741211,6059.627930,6108.265137,6108.265137,184349300
